Unnamed: 0,text,Label_by_zihan,Label_by_ben,Label_by_nicole,average,label,Qwen 1.5 Chat (0.5B),Qwen 1.5 Chat (1.8B),Qwen 1.5 Chat (4B),Qwen 1.5 Chat (7B),Qwen 1.5 Chat (14B),Qwen 1.5 Chat (72B),LLaMA-2 Chat (70B),GPT-4o,GPT-3.5 Turbo,GPT-4 Turbo,GPT-4o W/O Reasoning,Sentiment Roberta,Custmized Bert
13,alt-right was adopted by Deplorables. Average middle Americans. I've now moved to Libertarian.,3.0,3.0,4.0,3.333333333,5,7.0,7.0,0.0,4.0,3.0,5.0,3.0,5.0,5.0,6.0,5.0,4.2428823,3.6831527
14,"Christians In Palestine: Yes, They Exist #gaza #palestine #israel #BDS",4.0,5.0,5.0,4.666666667,5,7.0,7.0,1.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,5.576812,5.1860175
15,"Going to see #FantasticBeasts this afternoon. Mom is a Potter fanatic. My niece was, but she's kinda growing out of it.",6.0,10.0,6.0,7.333333333,10,7.0,1.0,9.0,6.0,6.0,6.0,8.0,7.0,8.0,7.0,7.0,6.6321354,6.8244743
16,Listen to win passes to see #FantasticBeasts after 2pm w/,7.0,8.0,6.0,7.0,5,7.0,7.0,6.0,7.0,7.0,4.0,8.0,8.0,5.0,8.0,8.0,6.256677,6.2960443
17,The United Nations Headquarters in New York #unitednations #newyork #usa🇺🇸 #USA #newyorkcity…,5.0,5.0,5.0,5.0,5,7.0,7.0,2.0,5.0,3.0,5.0,8.0,5.0,5.0,5.0,5.0,5.491826,5.2187543
18,Zac Efron Flaunts Fit Abs in New ‘Dirty Grandpa’... #ZacEfron,5.0,6.0,7.0,6.0,5,0.0,10.0,9.0,6.0,6.0,6.0,8.0,8.0,5.0,7.0,8.0,5.94957,6.3206844
19,"#Israel fire updates: Major blaze breaks out near #Jerusalem, firebombing suspected...",4.0,4.0,4.0,4.0,5,7.0,7.0,5.0,6.0,3.0,5.0,5.0,3.0,2.0,2.0,2.0,3.1986248,3.2324383
20,"RT Can I politely suggest that we all stop using the term ""alt-right"" and use other, more precise words.",4.0,3.0,5.0,4.0,5,7.0,10.0,0.0,7.0,6.0,5.0,8.0,6.0,5.0,6.0,6.0,3.8771062,4.4929743
21,Day 5 Advent Gift Countdown - 'Gold Standard' #20moresleeps #christmasgifts #luxuryhampers…,7.0,7.0,6.0,6.666666667,5,0.0,7.0,9.0,7.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,5.7909317,6.207119
22,Ben Carson awoke this morning to find out that the big yellow thing in the sky is the sun,2.0,5.0,5.0,4.0,5,0.0,7.0,0.0,5.0,0.0,6.0,5.0,6.0,5.0,6.0,6.0,5.09827,6.4921365
23,Can't wait to try this - Google Earth VR - this stuff really is the future of exploration....,8.0,7.0,7.0,7.333333333,10,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,7.464612,7.469334
24,Trump is likely supporting Putin talking on unsecured phone lines bc Trump's tied to Russia #DworkinReport,3.0,4.0,4.0,3.666666667,5,0.0,5.0,1.0,6.0,3.0,6.0,3.0,2.0,2.0,3.0,3.0,4.178675,3.1028304
25,"The fact that mike pence thinks there's a ""cure"" for being gay is absolutely the most ridiculous statement I have ever heard in my life",1.0,2.0,4.0,2.333333333,0,0.0,10.0,9.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.7036529,2.537106
26,Photos: A Thanksgiving protest against Dakota Access pipeline - The Boston Globe,4.0,5.0,5.0,4.666666667,5,7.0,7.0,1.0,0.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,4.701515,5.110097
27,Clinton foundation reminds me of Maharashtra CM Antuley's foundation in 80s for taking bribe.,3.0,5.0,3.0,3.666666667,0,0.0,5.0,1.0,1.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,3.8972223,2.8329532
28,Survey shows Poroshenko has lost considerable electoral support in two years,3.0,4.0,4.0,3.666666667,5,0.0,6.0,0.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,3.0,3.224706,3.016728
29,When Trump jeopardizes their social security and Medicare payments imma laugh.,2.0,2.0,5.0,3.0,0,0.0,7.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,3.106989,3.6190097
30,At Any Price review – generations clash in the American midwest #ZacEfron,5.0,4.0,5.0,4.666666667,5,7.0,5.0,5.0,0.0,5.0,6.0,5.0,4.0,5.0,5.0,6.0,5.4950023,5.157458
31,Wow - the world as we know it is slowly turning upside down: Microsoft joins the Linux Foundation. Good news I supp…,8.0,2.0,5.0,5.0,10,7.0,1.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,6.7914624,7.4349236
32,"So that Westworld show, it isn't too bad. I guess. If you like that sort of thing.",7.0,5.0,6.0,6.0,5,7.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0249987,7.0390515
33,"Download UBER app, Register with this promo code NGSBA105 and get a free ride worth #2500. #Uber #UberNigeria",6.0,6.0,5.0,5.666666667,5,0.0,1.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,6.7392716,6.5353174
34,I love Manchester. Everyone knows that - I have said it many ti... #CristianoRonaldo #citations,9.0,9.0,7.0,8.333333333,10,0.0,7.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,7.397237,7.4389887
35,In august2008.puppet Saakashvili attacked South Ossetia and Russian peacekeepers.South Ossetia will be i…,4.0,4.0,5.0,4.333333333,0,0.0,7.0,0.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.9838965,3.1887095
36,"Yes, white supremacists are America's greatest problem ever. OMG. GET REAL. #GOAWAY",3.0,2.0,5.0,3.333333333,0,7.0,7.0,1.0,0.0,2.0,6.0,8.0,1.0,2.0,3.0,0.0,2.679657,2.6134295
37,I'm getting tired of these people and their gun control,1.0,3.0,4.0,2.666666667,0,0.0,7.0,7.0,6.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,2.6586568,2.526309
38,#Trump MEMORABILIA#BlackFriday - UP TO 40% OFFUse Code: BLACKFRISAVE#DrainTheSwamp #Deplorables…,5.0,6.0,7.0,6.0,5,0.0,7.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0,6.137271,3.6683702
39,It's more difficult to move to Mexico as the Clintons built a bloody great fence all along the Border…,4.0,3.0,4.0,3.666666667,0,0.0,5.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.8090167,3.0941281
40,"it's weird 'cause I usually like music in his vein, but it's every so shy of being memorable like a Bob Dylan/Lou Reed thing(?)",7.0,5.0,5.0,5.666666667,0,0.0,6.0,6.0,6.0,3.0,6.0,5.0,5.0,3.0,6.0,5.0,4.5066776,5.7968297
41,#Putin has had it with #Obama and has decided to throw #America out of #Syria negotiationshttps://t.co/z4CBIDDU11,3.0,4.0,4.0,3.666666667,5,0.0,7.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.5591457,3.2181516
42,"we all know on JANUARY 20th trump gonna push oil, fossil fuels, fracking down our throats. Fml... We must fight back. GOP sucks",2.0,1.0,3.0,2.0,0,7.0,7.0,7.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,2.6741736,2.571124
43,"With James Comey in office, how could the US investigate the Russians?",3.0,5.0,5.0,4.333333333,0,7.0,5.0,0.0,5.0,0.0,4.0,3.0,3.0,2.0,3.0,4.0,3.992902,3.5437772
44,"If you're looking for work in #Palestine, TX, check out this #job: #Retail #Hiring #CareerArc",5.0,5.0,6.0,5.333333333,5,0.0,8.0,1.0,6.0,5.0,5.0,8.0,5.0,5.0,8.0,6.0,5.280795,5.8793135
45,Didn't take long for the Clinton Foindation money train to derail. Zero Hedge,3.0,3.0,4.0,3.333333333,0,0.0,5.0,7.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.40129,3.1230876
46,idk where to start after my intro. im writing from a pro-raising-minimum-wage pov but I'm stuck ☹️,4.0,4.0,4.0,4.0,5,9.0,10.0,1.0,5.0,3.0,6.0,5.0,3.0,2.0,4.0,4.0,2.8993084,3.3082154
47,This isn't the 1st time & the #Hamas supporting #IntifadaBrigade mock disasters/terror attacks while p…,2.0,5.0,4.0,3.666666667,5,5.0,7.0,10.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.3282528,2.8401535
48,#Platz / #Place: 4 Vente Pa' Ca (feat. Maluma) - Ricky Martin #top100 #musik #music #charts #Spain #Spanien,5.0,6.0,7.0,6.0,5,0.0,7.0,0.0,0.0,7.0,3.0,8.0,6.0,5.0,6.0,8.0,5.4334874,5.593311
49,Come on Electoral College. Please do your job. Majority of Americans do not want This is NOT the f…,4.0,3.0,4.0,3.666666667,5,7.0,10.0,7.0,9.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,2.8439713,4.058464
50,shoutout to the moms of -Zac Efron-Ryan Gosling-Franco Brothers-Hemsworth brothers-Channing Tatumfor making these beautiful men,6.0,7.0,8.0,7.0,10,9.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,6.0,8.0,9.0,7.3229275,7.2462416
51,only wants adulation and sycophants. Like Kim Fatty the Third. Paranoia and bugs rooms.,1.0,2.0,3.0,2.0,0,7.0,7.0,7.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.9772837,3.269284
52,Poorer states than Alabama have it because they accepted Medicaid expansion,3.0,5.0,5.0,4.333333333,5,0.0,3.0,1.0,5.0,6.0,4.0,5.0,3.0,3.0,4.0,3.0,5.3731117,4.6254416
53,2016 Prime Cuts JUSTIN VERLANDER Timeline Game Used 2 Color Button Patch 1/1,5.0,5.0,5.0,5.0,5,0.0,2.0,5.0,0.0,5.0,5.0,5.0,8.0,5.0,6.0,7.0,5.0667114,5.3000803
54,The Jew boy has spoken.,5.0,4.0,5.0,4.666666667,5,7.0,7.0,0.0,3.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,4.925065,5.783987
55,The latest Smart LifeStyle Food! Thanks to #weightloss #nationalfastfoodday,7.0,8.0,6.0,7.0,10,0.0,7.0,9.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,7.357509,7.4644365
56,I find myself humming the notes of #ThisIsUs sang a few episodes ago. Missing her angelic voice. Love the show.,8.0,8.0,8.0,8.0,10,7.0,9.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,7.3520927,5.875069
57,#NoDAPL #CorporateGreed #corporations are #evil especially the media #corporations #tpp #TrumpTrain #bravo #cnn #foxnews #soulless #wrong 😣,2.0,1.0,3.0,2.0,0,7.0,7.0,10.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.6931863,2.5523674
58,"it's free with insurance because of Obamacare, which trump wants to repeal 🙃",4.0,4.0,4.0,4.0,0,7.0,5.0,2.0,6.0,3.0,4.0,6.0,4.0,3.0,4.0,5.0,3.8032196,4.5884137
59,Buy VAMAA 3D Printing Pen 1.75mm ABS Filament 10m (0.25*40 Strands) (Snow White) at Rs. 299.00,5.0,5.0,5.0,5.0,5,1.0,0.0,0.0,0.0,5.0,5.0,6.0,5.0,5.0,6.0,7.0,5.1456895,5.49882
60,The #Obama admin. has carried out a deliberately deceptive campaign accusing Iran of sending arms to #Houthis#yemenhttps://t.co/KYu02C73ww,3.0,3.0,4.0,3.333333333,5,0.0,5.0,6.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.2342093,2.911857
61,#Yanukovych seems much more willing to take questions from the media than often is! #UkrAine,5.0,5.0,5.0,5.0,5,0.0,10.0,5.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0,7.0,6.4171076,6.402065
62,"Madison Bartley with nice debut tonight: made her only shot and finished with 5 boards, 3 blocks, and 2 steals in Fairmont's win over Tipp.",4.0,8.0,7.0,6.333333333,10,5.0,5.0,0.0,8.0,7.0,8.0,8.0,8.0,9.0,8.0,9.0,7.0445304,7.257558
63,☞ ISIS Films Men Laughing While Woman Is Raped in Background,1.0,1.0,3.0,1.666666667,0,7.0,7.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,3.4811513,3.294174
64,#TPP is N.W.O.; 1%er's Corporatocracy;～Global Governance by Corporate Jews.【https://t.co/WZGQvZfJgo https://t.co/vRaKoOEr73】#ows #tcot #p2,3.0,5.0,5.0,4.333333333,5,7.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,3.4624624,3.8552272
65,I hear you. Not worth it. Its like arguing with the devil. That's why I'm on gab.ai. All us deplorables over there. Come join,4.0,3.0,5.0,4.0,0,0.0,5.0,5.0,1.0,3.0,6.0,2.0,2.0,1.0,4.0,2.0,2.8086019,2.7482114
66,Power of 50+ years of unrelenting CIA propaganda for sure. Lest we also forget 50+ years illegal USA trade embargo…,3.0,2.0,4.0,3.0,5,0.0,7.0,7.0,6.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0336242,2.6672547
67,"Okay, I think I've got my #GilmoreGirlsTop4: Max, Jess, Luke, Sookie",6.0,6.0,7.0,6.333333333,5,7.0,7.0,0.0,4.0,7.0,8.0,8.0,8.0,9.0,7.0,9.0,6.0022984,6.8026137
68,"Your progressive POS rag is as irrelevant as Michael Moore, one of your early editors.",3.0,4.0,4.0,3.666666667,0,7.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.6587932,3.0347981
69,“It’s such a futuristic idea. A world in which the descendants of slaves become poets.” ~ Terrance Hayes #NBAwards,6.0,7.0,6.0,6.333333333,5,7.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,5.9358616,6.54556
70,"are you gonna say ""suck it bitch"" to the people he mass deported? the people who've been terrorized by drone strike…",2.0,1.0,3.0,2.0,0,0.0,5.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,2.6577988,2.57625
71,"Why is no one screaming for gun control? Shouldn't that be the story MSM obsesses over? But no, they MUST discredit #PizzaGate",4.0,3.0,3.0,3.333333333,0,0.0,7.0,0.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.9469833,2.8351116
72,Wow...this is one deadly statement! Reminding me of the Greta Muhammad Ali.,3.0,2.0,4.0,3.0,10,0.0,7.0,2.0,5.0,6.0,6.0,6.0,8.0,2.0,7.0,7.0,2.6840608,3.4727106
73,#pmp course prep with in #tripoli #libya; 25% discount; only 5 seats left!,5.0,5.0,5.0,5.0,10,0.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,6.0,8.0,8.0,6.274534,6.369956
74,i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months,5.0,5.0,6.0,5.333333333,10,5.0,6.0,9.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.4263563,6.0879364
75,Drop 75% Price: £7.88. Paperback: The Gay & Lesbian Marriage & Family Reader: Analyses of Problems and Prospe...,5.0,5.0,6.0,5.333333333,0,0.0,7.0,9.0,6.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,4.95433,5.1672025
76,You mean like Nancy Pelosi making millions on insider trading from her House sources?,4.0,4.0,5.0,4.333333333,5,7.0,3.0,0.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,3.9871974,3.0343404
77,Can someone tell me where I can get a good red eyeshadow from?? (Not animal testing brands pls x),5.0,5.0,5.0,5.0,5,7.0,7.0,0.0,7.0,4.0,5.0,8.0,8.0,5.0,7.0,7.0,5.514621,5.988019
78,Michael Hicks picks off Bishop Moore pass; after illegal-block penalty ball at its 33 7:50 2Q,5.0,5.0,5.0,5.0,5,1.0,7.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.07812,5.2012396
79,See and on TV talking about #Homeopathy #ten23,5.0,5.0,5.0,5.0,5,0.0,7.0,10.0,0.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,5.293468,5.501851
80,"hi love the tweet, got stuff on social security tweet",6.0,5.0,8.0,6.333333333,10,0.0,10.0,1.0,9.0,6.0,7.0,5.0,7.0,5.0,6.0,5.0,7.4329967,7.416257
81,"Man who funded anti-Trump riots, Hillary, funded radicals to overthrow police, Ukraine go…",5.0,2.0,4.0,3.666666667,0,9.0,7.0,1.0,5.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,3.032909,2.6724503
82,"Stay right here, buddy. There are lots of nasty women and bad hombres that are staying too.",4.0,2.0,7.0,4.333333333,5,7.0,7.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.8363094,3.316569
83,These Formula racing champs use 3D printing as a key part of their racing strategy. It's the perfect tool with only…,7.0,7.0,7.0,7.0,10,0.0,1.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.2779255,7.4012055
84,"#Russia-n and Chinese Defense Ministers discuss the latest development in #Libya, on the margin of a joint military…",5.0,5.0,5.0,5.0,5,7.0,1.0,0.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1157722,5.3129296
85,More happy tails!Gino and Rex have been adopted!Gino narrowly escaped euthanasia by heartstick. He is now the...,6.0,6.0,8.0,6.666666667,10,7.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,7.3973966,7.468437
86,"Electoral college hasn't even decided to vote for him, and he can't stop himself from fucking up. c…",4.0,3.0,3.0,3.333333333,0,0.0,5.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.7317326,2.5436137
87,"sadly, Putin has won big time over the past 10-15 years. His biggest triumph being the election of his proxy",4.0,3.0,4.0,3.666666667,10,0.0,7.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,5.6671243,2.5841172
88,US Airstrikes Hit 34 Daesh Fighting Positions Near Libya's Sirtehttps://t.co/E2aJFRljJx#Libya #News,5.0,5.0,5.0,5.0,5,0.0,10.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.1741743,3.2367635
89,you were elected with promise to keep #Medicaid #Medicare Paul Ryan was not elected #POTUS PLEASE do not kill w his plan,4.0,4.0,4.0,4.0,0,7.0,7.0,0.0,0.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,3.5703046,4.063273
90,After finally watching the whole of #FantasticBeasts I can officially say that it is a bloody awesome film✨,8.0,10.0,8.0,8.666666667,10,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.4666586,7.4779334
91,Creepy name dropping won't hide your fake followers #Thanksgiving!@RadioFreeTom,3.0,4.0,4.0,3.666666667,0,7.0,7.0,7.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.8924448,2.773548
92,"*** COURTESY POST - URGENT - RESCUE ONLY ***In danger of euthanasia, rescue needed NOW. Spalding County is in...",4.0,3.0,5.0,4.0,0,7.0,1.0,1.0,6.0,3.0,3.0,4.0,2.0,8.0,2.0,1.0,4.2108727,4.410523
93,"I hope this isn't another attempt to get a 300 hitter from the National League who now hits 220 Tai wins Cy young, ew",5.0,5.0,4.0,4.666666667,0,9.0,10.0,1.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0,3.1351333,4.8195715
94,Omg I love Jill Scott why am I just now watching #ThankYouObama 😭,7.0,8.0,7.0,7.333333333,10,0.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,7.42535,7.468646
95,"I'm still hype af for Berseria, Persona 5 and FFXV!",6.0,8.0,8.0,7.333333333,10,7.0,5.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,7.454413,7.077317
96,Niggas be broke that's the reason they hate flipping them burgers for minimum wage 😅,1.0,2.0,3.0,2.0,0,7.0,7.0,0.0,2.0,3.0,4.0,8.0,1.0,1.0,2.0,0.0,3.082612,2.7097862
97,"If their great-grandfathers who fought in WWII could see alt-rightists applauding ""Hail Trump,"" they'd give them such an ass-kicking...",3.0,3.0,4.0,3.333333333,0,0.0,7.0,1.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,3.3791084,3.4668283
98,Well I will not stop complaining as your vote went towards a misogynist and a p*ssy grabber #StillWithHer,3.0,1.0,4.0,2.666666667,0,0.0,7.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.8033056,2.6847813
99,"Fascinating interview with former Georgia President Mikheil Saakashvili - very candid about Putin, Trump & NATO",5.0,5.0,5.0,5.0,10,7.0,8.0,9.0,9.0,7.0,4.0,8.0,8.0,8.0,7.0,8.0,6.909533,6.8419056
100,There isn't even a proper correlation because almost all of the decline in deaths&complications occurred BEFORE the vaccines,4.0,4.0,4.0,4.0,0,0.0,7.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0951722,3.1587186
101,"in a post-truth world of propaganda and organized voter suppression, can you make progress without using the same tools)",4.0,5.0,4.0,4.333333333,5,7.0,6.0,0.0,6.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3.870197,2.7386765
102,"Poorly implemented app can be exploited to locate, unlock and steal a Tesla Model S",4.0,3.0,4.0,3.666666667,0,0.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.8765678,3.7228413
103,deadline for WI is today and hoping your people are on it and NOT this lying Putin loving scammer,3.0,5.0,4.0,4.0,5,7.0,7.0,7.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,3.2895603,2.745455
104,Past Time to take care for our planet.,5.0,5.0,5.0,5.0,5,7.0,7.0,0.0,7.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,5.5061097,5.7622375
105,"She doesn't care though, she says next year she's eligible for Medicaid.",5.0,5.0,5.0,5.0,5,0.0,5.0,7.0,6.0,3.0,4.0,6.0,6.0,3.0,6.0,5.0,4.9808407,5.9259243
106,Don't forget to buy crap! Also who's got my #Hatchimals hookup,4.0,4.0,5.0,4.333333333,0,7.0,7.0,9.0,3.0,3.0,6.0,6.0,4.0,4.0,6.0,4.0,3.126803,6.298321
107,no building or street or school will named after Fidel Castro in Cuba. That is Fidel's wish.@_cosatu #fidelcastro.,6.0,5.0,5.0,5.333333333,5,5.0,1.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.3773453,4.4298344
108,BOOM: Mass immigration has turned some UK towns into ghettos: Bombshell Report,3.0,4.0,4.0,3.666666667,0,0.0,7.0,2.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,2.928392,2.8751407
109,Dady is slaying the game of abs.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,3.0,5.0,7.0,5.0,5,0.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,7.0261345,7.2916193
110,"Federal offices as POTUS ""NEED FEDERAL REGULATIONS, NOT STATE LAWS""~This needs to change to federal rules!",5.0,4.0,4.0,4.333333333,5,0.0,7.0,0.0,9.0,4.0,4.0,2.0,4.0,5.0,6.0,5.0,4.0220165,4.141701
111,Why tf are tanks at a black lives matter protest but they nowhere to be found when the kkk is celebrating trump's v…,3.0,3.0,4.0,3.333333333,0,5.0,7.0,1.0,8.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.9525785,3.6515384
112,I wish to be there lovely bro Sami💐Wishing you a successful wonderful and concert in Dubai lots of love…,8.0,8.0,8.0,8.0,10,0.0,7.0,1.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,7.458114,7.483138
113,"Hi. I can't find the old episodes of #TheWalkingDead on Virgin on Demand anymore: have they gone, or am I looking wrong? 😊 ❤📺",6.0,5.0,5.0,5.333333333,0,7.0,7.0,7.0,6.0,6.0,8.0,5.0,7.0,5.0,6.0,6.0,5.17212,3.056311
114,Commander of 5th infantry division visit #IraqiArmy and PMF wounded in #Baquba hospital#ام_الربيعين_تجمعنا#mosul…,6.0,5.0,5.0,5.333333333,5,0.0,7.0,6.0,6.0,3.0,5.0,8.0,6.0,5.0,6.0,7.0,4.4343185,5.1616435
115,"oh, and Hillary most likely didn't win the popular vote, considering how many illegal votes were casted",4.0,4.0,4.0,4.0,0,0.0,5.0,6.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.1788387,2.7417803
