,Qwen 1.5 Chat (0.5B),Qwen 1.5 Chat (1.8B),Qwen 1.5 Chat (4B),Qwen 1.5 Chat (7B),Qwen 1.5 Chat (14B),Qwen 1.5 Chat (72B),LLaMA-2 Chat (70B),GPT-4o,GPT-3.5 Turbo,GPT-4 Turbo,GPT-4o W/O Reasoning
237,0.0,7.0,0.0,0,7.0,5,5.0,5,5,6,5
238,,10.0,0.0,2,2.0,4,2.0,2,2,2,1
239,,7.0,2.0,4,3.0,4,3.0,2,2,3,1
240,0.0,7.0,0.0,1,3.0,3,2.0,2,2,2,1
241,0.0,7.0,1.0,2,2.0,3,2.0,2,2,1,0
242,0.0,7.0,0.0,6,4.0,6,6.0,7,5,6,6
243,,7.0,,5,3.0,5,5.0,5,5,4,4
244,0.0,10.0,0.0,1,3.0,4,2.0,4,2,3,2
245,,5.0,6.0,1,3.0,5,3.0,3,2,4,1
246,7.0,7.0,,7,6.0,8,8.0,8,8,8,8
247,,1.0,6.0,6,4.0,5,3.0,3,3,3,2
248,9.0,10.0,0.0,9,7.0,5,8.0,8,9,8,8
249,,7.0,10.0,9,6.0,8,8.0,6,6,8,5
