text,Label_by_zihan,Label_by_ben,Label_by_nicole,average
I hear you. Not worth it. Its like arguing with the devil. That's why I'm on gab.ai. All us deplorables over there. Come join,4,3,5,4
Power of 50+ years of unrelenting CIA propaganda for sure. Lest we also forget 50+ years illegal USA trade embargo…,3,2,4,3
"Okay, I think I've got my #GilmoreGirlsTop4: Max, Jess, Luke, Sookie",6,6,7,6.333333333
"Your progressive POS rag is as irrelevant as Michael Moore, one of your early editors.",3,4,4,3.666666667
“It’s such a futuristic idea. A world in which the descendants of slaves become poets.” ~ Terrance Hayes #NBAwards,6,7,6,6.333333333
"are you gonna say ""suck it bitch"" to the people he mass deported? the people who've been terrorized by drone strike…",2,1,3,2
"Why is no one screaming for gun control? Shouldn't that be the story MSM obsesses over? But no, they MUST discredit #PizzaGate",4,3,3,3.333333333
Wow...this is one deadly statement! Reminding me of the Greta Muhammad Ali.,3,2,4,3
#pmp course prep with in #tripoli #libya; 25% discount; only 5 seats left!,5,5,5,5
i bought it for kh3 and persona 5 and ffxiv (tho i havent touched that in months,5,5,6,5.333333333
Drop 75% Price: £7.88. Paperback: The Gay & Lesbian Marriage & Family Reader: Analyses of Problems and Prospe...,5,5,6,5.333333333
You mean like Nancy Pelosi making millions on insider trading from her House sources?,4,4,5,4.333333333
Can someone tell me where I can get a good red eyeshadow from?? (Not animal testing brands pls x),5,5,5,5
Michael Hicks picks off Bishop Moore pass; after illegal-block penalty ball at its 33 7:50 2Q,5,5,5,5
See and on TV talking about #Homeopathy #ten23,5,5,5,5
"hi love the tweet, got stuff on social security tweet",6,5,8,6.333333333
"Man who funded anti-Trump riots, Hillary, funded radicals to overthrow police, Ukraine go…",5,2,4,3.666666667
"Stay right here, buddy. There are lots of nasty women and bad hombres that are staying too.",4,2,7,4.333333333
These Formula racing champs use 3D printing as a key part of their racing strategy. It's the perfect tool with only…,7,7,7,7
"#Russia-n and Chinese Defense Ministers discuss the latest development in #Libya, on the margin of a joint military…",5,5,5,5
More happy tails!Gino and Rex have been adopted!Gino narrowly escaped euthanasia by heartstick. He is now the...,6,6,8,6.666666667
"Electoral college hasn't even decided to vote for him, and he can't stop himself from fucking up. c…",4,3,3,3.333333333
"sadly, Putin has won big time over the past 10-15 years. His biggest triumph being the election of his proxy",4,3,4,3.666666667
US Airstrikes Hit 34 Daesh Fighting Positions Near Libya's Sirtehttps://t.co/E2aJFRljJx#Libya #News,5,5,5,5
you were elected with promise to keep #Medicaid #Medicare Paul Ryan was not elected #POTUS PLEASE do not kill w his plan,4,4,4,4
After finally watching the whole of #FantasticBeasts I can officially say that it is a bloody awesome film✨,8,10,8,8.666666667
Creepy name dropping won't hide your fake followers #Thanksgiving!@RadioFreeTom,3,4,4,3.666666667
"*** COURTESY POST - URGENT - RESCUE ONLY ***In danger of euthanasia, rescue needed NOW. Spalding County is in...",4,3,5,4
"I hope this isn't another attempt to get a 300 hitter from the National League who now hits 220 Tai wins Cy young, ew",5,5,4,4.666666667
Omg I love Jill Scott why am I just now watching #ThankYouObama 😭,7,8,7,7.333333333
"I'm still hype af for Berseria, Persona 5 and FFXV!",6,8,8,7.333333333
Niggas be broke that's the reason they hate flipping them burgers for minimum wage 😅,1,2,3,2
"If their great-grandfathers who fought in WWII could see alt-rightists applauding ""Hail Trump,"" they'd give them such an ass-kicking...",3,3,4,3.333333333
Well I will not stop complaining as your vote went towards a misogynist and a p*ssy grabber #StillWithHer,3,1,4,2.666666667
"Fascinating interview with former Georgia President Mikheil Saakashvili - very candid about Putin, Trump & NATO",5,5,5,5
There isn't even a proper correlation because almost all of the decline in deaths&complications occurred BEFORE the vaccines,4,4,4,4
"in a post-truth world of propaganda and organized voter suppression, can you make progress without using the same tools)",4,5,4,4.333333333
"Poorly implemented app can be exploited to locate, unlock and steal a Tesla Model S",4,3,4,3.666666667
deadline for WI is today and hoping your people are on it and NOT this lying Putin loving scammer,3,5,4,4
Past Time to take care for our planet.,5,5,5,5
"She doesn't care though, she says next year she's eligible for Medicaid.",5,5,5,5
Don't forget to buy crap! Also who's got my #Hatchimals hookup,4,4,5,4.333333333
no building or street or school will named after Fidel Castro in Cuba. That is Fidel's wish.@_cosatu #fidelcastro.,6,5,5,5.333333333
BOOM: Mass immigration has turned some UK towns into ghettos: Bombshell Report,3,4,4,3.666666667
Dady is slaying the game of abs.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,3,5,7,5
"Federal offices as POTUS ""NEED FEDERAL REGULATIONS, NOT STATE LAWS""~This needs to change to federal rules!",5,4,4,4.333333333
Why tf are tanks at a black lives matter protest but they nowhere to be found when the kkk is celebrating trump's v…,3,3,4,3.333333333
I wish to be there lovely bro Sami💐Wishing you a successful wonderful and concert in Dubai lots of love…,8,8,8,8
"Hi. I can't find the old episodes of #TheWalkingDead on Virgin on Demand anymore: have they gone, or am I looking wrong? 😊 ❤📺",6,5,5,5.333333333
Commander of 5th infantry division visit #IraqiArmy and PMF wounded in #Baquba hospital#ام_الربيعين_تجمعنا#mosul…,6,5,5,5.333333333
"oh, and Hillary most likely didn't win the popular vote, considering how many illegal votes were casted",4,4,4,4
Free use-case based #DeepLearning course with #TensorFlow at #BigData…,5,5,5,5
As does the $$ the Secret Service must pay to fly on Trump planes to protect Melania & the kids.,3,5,5,4.333333333
"Honored to represent 2 discuss Robots, Materials, Energy & Agriculture at XI Innovation Congress #sswcee",7,6,6,6.333333333
"Medical marijuana is legal in majority of America, yet veterans get no guidance thanks to VA policy…",3,4,5,4
".@CCFA Of all things, homeopathy? Patients need to know this is a scam with no basis in science (or reality).",3,3,4,3.333333333
"SORRY, HARRY...I'M LEAVING YOU FOR YOUR TWIN: MARCEL #JK #Onedirection #HarryStyles",5,6,5,5.333333333
America was saved. Wake the hell up. You want 2M refugees? Global gov?TPP?Learn the facts goto college,2,3,4,3
Soz but u can't protest against animal testing if you eat meat & dairy. Laboratories are like a vacation compared to meat & dairy farms.,3,5,4,4
HBO hun...the show is really good. Get read to have Melania Trump facial expression for like three episodes though😂,7,5,7,6.333333333
Thousands flee Raqqa as Turkish-Kurdish tensions threaten anti-IS campaign #ISIS,4,3,4,3.666666667
"""who's the most wiped out white boy? Zac Efron! Zac Efron!""",5,4,7,5.333333333
Fan opinion: right now I would absolutely take Justin Verlander as a Red Sox. Hands down. #RedSox,5,6,5,5.333333333
Anti-Trump Protests And Riots Backfire!! Students Starting To Realize Th... via,3,4,4,3.666666667
"RT When they're literally doing a Nazi salute you don't have to fudge and call them ""alt right""",3,3,3,3
#humanrights #UnitedNations Palestinian capable of overcoming aches to help humanitarian aids!,6,6,6,6
#today Somewhere quite high on a road between Bala and Vyrnwy,5,5,5,5
"isn't he the ultra conservative anti- gay marriage, anti-abortion, anti- everything guy?",3,2,5,3.333333333
"And in my defense, I said Marcelo out of reflex but clarified that Cristiano Ronaldo dos Santos Aveiro is actually the best.",6,7,7,6.666666667
Ashley Graham Lands Her First 'Vogue' Cover and Goes Au Naturel,5,6,7,6
"So I see the takes this week are split between ""the popular vote should reign supreme"" and ""enlightened electors should override the voters""",5,5,4,4.666666667
I think we should give all #ISIS members a Bible this #Christmas,3,5,5,4.333333333
"Even after the 4th time watching #FantasticBeasts, I still teared up at the John Williams opening scores. Such a cry baby 😭",7,7,8,7.333333333
"Never will let - via the reluctance influx of robbed by Poroshenko Ukrainian, where millions of families live on $ 40 a month",3,4,4,3.666666667
"The ""rich white racists"" hurting ""brown people"" are the Liberals inciting riots & racial divide in America! #Putin'…",3,2,4,3
Banda Piper - Ricky Martin (Livin' la vida loca) e Marron 5 (This love) via,5,5,5,5
Tesla Factory overview they're already producing Model 3 or S,6,5,5,5.333333333
I am so excited to see and on #GilmoreGirlsTop4 #FallonTonight,7,7,8,7.333333333
Review: Google Earth VR - VR Today Magazine (apparently remarkable achievement!) #VR,8,6,6,6.666666667
I followed Pope Francis' Latin twitter. I don't speak Latin.,5,5,5,5
"But,her sis was big in election,familyRall writers&ACexpert on digi media,so logical cd increase # s",5,5,5,5
"Wait, Grayson Allen is still playing!? I know he looks like he's 12, but he's been there at least 6 years, right?",6,4,6,5.333333333
"Pelosi, always one to reward failure, is trying to burden House Dems with Ben Ray Lujan as DCCC chair again. She's now incapable of learning",3,1,5,3
"leftists have cried wolf a few too many times, while Trump supporters r getting assaulted actually.",3,2,4,3
"So that's Obama Care, prosecuting Clinton & the Mexican border wall that he's now reneged on?! #lies #establishment…",2,3,4,3
I want to see more robots fall in love with other robots,6,5,7,6
"There could be a thousand more Hairspray remakes, and I will still like the one with Zac Efron better.",9,6,4,6.333333333
"A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Nothttps://t.co/SYFgzYscjy#uniteblue #notmypresident",4,4,4,4
"The same people (leftists) who fought for women and gays, wanna allow the risk of terrorist migration in this country that kills them.",3,3,4,3.333333333
Fossil fuels will still provide 80% of global #energy supply in 2035 said Dr. Eveloy at Network’s workshop…,5,4,5,4.666666667
Loyalty's V.important 2.Dems GOPe Press all working against him. Mitt foreign policy vision diff.,5,5,4,4.666666667
Marion Le Pen has also accepted stolen wine from Crimea and agreed to new winemaking partnership #Sanctions #CrimeaIsUkraine,4,5,4,4.333333333
".@DrJillStein Answers? What are the Qs?Problem is voter suppression, not vote chicanery.Focus on the former, not the latter.",3,4,5,4
"secures first major sales order worth around $65,000 #business #news #investment #ASX200 #Pharmaceutical",7,6,6,6.333333333
"IFC signed agreement with Bank of #Palestine to scale up lending operations to smaller firms, especially women-owne…",6,5,6,5.666666667
mi mamá didn't tell me there was codeine in the cough syrup she gave me so I spent all of Thanksgiving drugged wbu,4,4,5,4.333333333
Have a pesky relative that won't stop complaining about Trump? Check to see if they're registered to vote:https://t.co/ddJFVJrUZw,5,4,5,4.666666667
Happy belated #NationalFastFoodDay!I want our #McDonalds with #McDelivery & #ShrimpBurgers like in #Seoul! My fav…,8,6,7,7
The The Orlando #Python User Group meetup is hosting the Deep Learning with #Python on Monday after next. Be there:,5,5,5,5
it's soft conservatives who are cool with gay people (sometimes blacks) and drone strikes versus genuine progressives.,4,4,5,4.333333333
Google Earth joins the VR revolution letting you wander the world in 3D:,7,6,6,6.333333333
"anyways u can assume I & others have the best intentions & wouldnt advocate nonconsentual testing for anyone, human or animal",3,5,5,4.333333333
"ruin ACA, privatize schools and Medicare, limit abortion choice, sell america's interests to line his pockets, start wars",2,3,4,3
she introduced Ivanka to her husband!? Wow all surrounded by Putin's agents,4,3,5,4
Everyone knows that vegetarianism is synonymous with wellness! 🙄,4,5,6,5
"RT Trump supporters, please read this article. Do you support this? What possible response is there?",4,4,5,4.333333333
To motivate deep learning & resilience help youth develop initiative. Great tips from,9,5,5,6.333333333
#native american sex pictures download porn mp4 anal fissure homeopathy,5,2,5,4
Representing in the for my peeps. #brownandproud #bad-hombres #thanksgiving,5,5,7,5.666666667
Ethics counsels for W & Obama: Electors shd vote #Clinton if #Trump retains ownership of his businesses #UniteBlue,3,5,5,4.333333333
The New York Times doesn't even pretend to cover the news anymore. Where are their articles about anti-Trump riots?,4,4,4,4
67.4 kg gold missing from Delhi airport in 7 months - via,5,5,5,5
#ESPN 2013-14 Panini Gold Standard Gold Prospects #35 Harrison Barnes /49 #TFBJP,3,6,5,4.666666667
"...and by ""genocidal antisemites"" you mean Steve Bannon, right?#NotMyPresident",3,3,5,3.666666667
"Rimmel Cosmetics, Avon and Cover Girl: You have got to stop making “cosmetics of cruelty”!",5,4,4,4.333333333
#Marijuana is medicine. 4 a very authoritative medical review of #cannabis https://t.co/9VlyPQTnGT No Exp date,3,6,6,5
What would The [un] & Conservatives say if or did a secret deal to give $300miln to WA? #auspol,3,5,4,4
#Prophet #Muhammad was treating every one of his #companions as if he most #beloved one to him. #Ep06_,7,5,7,6.333333333
Shame on #Barcelona fans for #homophobia displayed towards #RainbowLaces…,3,3,3,3
He's already ENRICHING HIMSELF by charging SS TOP price Towers Melania should b forced 2 live when time,3,5,5,4.333333333
You can now virtually travel the planet as #Google Earth is available in VR.,7,5,7,6.333333333
The best holiday ever National Fast food day #NationalFastFoodDay,8,7,7,7.333333333
Fast food companies spend $2B advertising to children each year. How's a parent to compete? #NationalFastFoodDay,3,4,4,3.666666667
"Comey’s letter swung public opinion, it would not have cost her the election. Voter suppression did that.",4,5,4,4.333333333
"If teachers are willing to make content wicked cool, students will be willing to engage in deep learning. #divergED…",6,5,6,5.666666667
she plans to rig the recount...so the Trump admin better be ahead of this. Even Obama didn't want her to do it.,3,3,4,3.333333333
Increasingly looks like Russia just conducted a sophisticated intel & propaganda operation of historic significance…,4,4,5,4.333333333
"A fine on that level does not really make much difference, does it 😔 #fracking destroys #environment",4,3,4,3.666666667
"The deplorables will have an awesome four year long hangover, think salt and hemroids, head in a sack bar of (cont)",2,5,5,4
When are we going to sign Mr. to his extention? Let's get it done!,7,5,6,6
"Great, so how far will you comply? Just squeeze a little more gun control?Ban angled foregrips, fudd?",3,5,5,4.333333333
"""Focusing on [alt rightists'] respectability...makes white supremacy appear normal and acceptable.""",2,3,5,3.333333333
"George soros...a member of the National socialist German worker party(nazi party). He served under Hitler, Himmler,this man said...",4,2,5,3.666666667
The Clinton Crime Foundation got everyone wanting to Pay to Play!,4,4,4,4
The NeoFascist Conservatives all cling to the fact that...,2,3,4,3
FCBarcelona: Arda Turan missed Friday's training session at the Ciutat Esportiva due to a fever #FCBlive,4,4,4,4
it just fucking blows because working a minimum wage job i need all the money i can get. shit isnt cheap.,2,4,3,3
Spirit of my silence i can hear you. But im afraid to be near you. #ThisIsUs 😍😍😍,7,5,5,5.666666667
Why does everything need a #remake? Enjoy the #classics! #BeautyandtheBeast #TheBradyBunch,5,5,4,4.666666667
"Brexit has started the disintegration of the EU, Italy&#39;s Europe minister says - - - The populist ...",3,5,4,4
Conflicts are only 1 of many issues facing racist/sexist/abusive/narcissistic despicable Trump. He also violated US…,3,2,3,2.666666667
"The Kelly File Special Nov 25, 2016 The Trump Transition ; Panel on Trump Cabinet Controversy: via",4,4,5,4.333333333
The Democrats are behind the Anti Trump protests that turn into Riots.There Parents must be pleased with how they raised there Children.,3,3,5,3.666666667
Trump says to #draintheswamp but fills his cabinet with fucking Swamp Things,3,3,5,3.666666667
"white supremacists? alt-right? They're fucking Nazi scumbags, or as I like to call them ""anti-american shit-stain…",2,0,2,1.333333333
75 percent of #Trump voters want to accelerate the growth of #clean #energy. #frackinghttps://t.co/LGmdweMk8q,5,5,6,5.333333333
and desperately trying to create brexit anxiety. Best to ignore mainstream media and laugh them off for what they are.,4,4,5,4.333333333
New All Party Parliamentary Group on Vegetarianism & #Veganism to discuss the impact of #Brexit Tues 3pm,5,5,5,5
"Link in bio - Come on The Walking Dead, get it together. #TheWalkingDead",6,5,5,5.333333333
Using #homeopathy to heal #PneumoniaInDogs is quick & economical #NaturalDogs #HolisticDogs,7,5,6,6
Do you think the Trump administration will construct a wall on the Mexican border?,5,5,5,5
Dear President Trump I think you should mak Dr. Ben Carson assign to your cabinet as the US Surgeon General instead of HUD.,5,5,5,5
"tried to drink, but just allergies so I sat there congested and bored watching David Blaine",4,4,4,4
Yikes! Turnbull Gov to introduce voter registration licenses. 😉,4,4,4,4
My opinion-This is a ploy to make an agreement between her and Trump. She won't protest if he won't prosecute.,5,4,5,4.666666667
"$2 Mil a DAY to protect Trump et al, because Melania doesn't want to move to DC, & Trumpkins wants to ""go home""",3,5,4,4
only Marine le Pen seems pleased! Very concerning for Europe. Hope some heads start to really work in Brussels!,4,5,5,4.666666667
"Imagining a credible threat, can they force him to sit down for the briefing? ""Look son, some bad hombres wanna get you...""0",3,3,6,4
Here's Obama legacy; we started his presidency with 3 wars and we end it with 7! & drone strikes; & Hillary wanted…,3,2,4,3
Why are oral vaccines less common than injected vaccines even if it can induce both systemic and mucosal immunities?,4,5,5,4.666666667
"To each her/his own. Most Conservatives, I simply disagree with, some I distrust and a few I dispise. Pick your #poison",3,2,4,3
"The thrill of seeing a wheelchair user in a movie doing boring, meaningless things that have nothing to do with euthanasia.",4,3,4,3.666666667
got a box of No.8 Maduro,5,5,5,5
This am my 8yo talks to me about 3D printing new airways for me. #hewillgoplaces #lovehimtopieces #TBM #justbreathe,6,6,8,6.666666667
"True, the Obama Admin. Squashed the Tea Party movement, unprecedented behavior.",3,3,5,3.666666667
"That's the first step in Gov't ""Gun Control"" Eliminate access to Ammunition.",4,5,5,4.666666667
".@NavyFederal the ""killer honeymoon"" commercial is so insensitive-u have drone strikes missing 90% of targets-not too funny #liberty",5,4,4,4.333333333
"Let's stop parsing.Just as #AltRight = Nazi, populist = anti-immigrant white supremacist. This is simple, irrefutable historical fact.",5,3,4,4
See you kids tomorrow #blackfriday #blackweek #podesejogar #dobre #mordki #unitednations…,5,5,6,5.333333333
White-collar supremacy is CODE used by liberal fascists for People who Work for Living in a Real Job #pjnet #trump #tcot #UniteBlue #p2,3,5,4,4
Okay but many alt rightists worship HitlerYou people can't keep pretending they aren't Third Reich 2.0,3,3,3,3
#Tigers #Memorabilia 2013 DETROIT TIGERS TICKET LOT OF 3 vs WHITE SOX CABRERA VERLANDER VGC L@@K! #Vintage #Sports,4,5,5,4.666666667
BEN 'THE SENSATION' HALL v CARSON JONES - OFFICIAL WEIGH IN & FACE OFF V...,7,5,5,5.666666667
everyone in the country is worried about our presidency and you and your girl still whining about the cy young.shut up dude,2,3,3,2.666666667
Thats not going to happen. The media will use him in an attempt to smear all conservatives. Spencer will relish in it.,3,4,4,3.666666667
"Sadly, this is how Steve Bannon sees all Jews.",3,3,4,3.333333333
"Ben Shapiro on Steve Bannon, the alt-right, and how they're using Trump while he's too stupid to see it. #FuckTrump",2,3,4,3
"Oh right, I have to save up $60 by February if I wanna get Persona 5.",5,5,5,5
"If the Community Spouse Dies Before the #Medicaid Recipient, Can #Medicaid Collect from the - via",5,5,5,5
Someone didn't just ask you that lol. Tommy Why would you be happy with any race doing a crime. The Liberals need bed🤗,2,3,4,3
"Fake news, Election Day hacks, Wikileaks, Comey, Russia, Jill Stein, Gary Johnson, etc. are all to blame, but Clinton herself, isn’t.",2,4,4,3.333333333
"I just want to move to LA, work a minimum wage job. Make clothes and paint all day. Do some community organizing. Start a modeling career.",5,6,6,5.666666667
"I dunno, from my porch view of Europe, there is certainly creeping unease, Baltics, Scandi, rightists in FR, IT, AU…",4,5,4,4.333333333
Watch Tesla Model S P85D’s instant speed avoid a potential rear-end collision,7,6,7,6.666666667
"Positive news - #France to enforce labeling of products produced in illegal #settlements, etc.: #Palestine #Israel",8,8,7,7.666666667
AVERAGE,,,,
