text,label,GPT4o_CoT
Well I will not stop complaining as your vote went towards a misogynist and a p*ssy grabber #StillWithHer,0,0
"Fascinating interview with former Georgia President Mikheil Saakashvili - very candid about Putin, Trump & NATO",10,9
There isn't even a proper correlation because almost all of the decline in deaths&complications occurred BEFORE the vaccines,0,3
"in a post-truth world of propaganda and organized voter suppression, can you make progress without using the same tools)",5,2
"Poorly implemented app can be exploited to locate, unlock and steal a Tesla Model S",0,0
deadline for WI is today and hoping your people are on it and NOT this lying Putin loving scammer,5,2
Past Time to take care for our planet.,5,6
"She doesn't care though, she says next year she's eligible for Medicaid.",5,6
Don't forget to buy crap! Also who's got my #Hatchimals hookup,0,4
no building or street or school will named after Fidel Castro in Cuba. That is Fidel's wish.@_cosatu #fidelcastro.,5,5
BOOM: Mass immigration has turned some UK towns into ghettos: Bombshell Report,0,1
Dady is slaying the game of abs.AMÈM LIAM PAYNE #MtvStarsNiallHoran #MPN #OneDirection,5,9
"Federal offices as POTUS ""NEED FEDERAL REGULATIONS, NOT STATE LAWS""~This needs to change to federal rules!",5,4
Why tf are tanks at a black lives matter protest but they nowhere to be found when the kkk is celebrating trump's v…,0,2
I wish to be there lovely bro Sami💐Wishing you a successful wonderful and concert in Dubai lots of love…,10,10
"Hi. I can't find the old episodes of #TheWalkingDead on Virgin on Demand anymore: have they gone, or am I looking wrong? 😊 ❤📺",0,7
Commander of 5th infantry division visit #IraqiArmy and PMF wounded in #Baquba hospital#ام_الربيعين_تجمعنا#mosul…,5,6
"oh, and Hillary most likely didn't win the popular vote, considering how many illegal votes were casted",0,2
Free use-case based #DeepLearning course with #TensorFlow at #BigData…,5,9
As does the $$ the Secret Service must pay to fly on Trump planes to protect Melania & the kids.,5,4
"Honored to represent 2 discuss Robots, Materials, Energy & Agriculture at XI Innovation Congress #sswcee",10,9
"Medical marijuana is legal in majority of America, yet veterans get no guidance thanks to VA policy…",0,2
".@CCFA Of all things, homeopathy? Patients need to know this is a scam with no basis in science (or reality).",0,1
"SORRY, HARRY...I'M LEAVING YOU FOR YOUR TWIN: MARCEL #JK #Onedirection #HarryStyles",5,7
America was saved. Wake the hell up. You want 2M refugees? Global gov?TPP?Learn the facts goto college,0,3
Soz but u can't protest against animal testing if you eat meat & dairy. Laboratories are like a vacation compared to meat & dairy farms.,5,2
HBO hun...the show is really good. Get read to have Melania Trump facial expression for like three episodes though😂,10,8
Thousands flee Raqqa as Turkish-Kurdish tensions threaten anti-IS campaign #ISIS,5,1
"""who's the most wiped out white boy? Zac Efron! Zac Efron!""",5,3
Fan opinion: right now I would absolutely take Justin Verlander as a Red Sox. Hands down. #RedSox,10,9
Anti-Trump Protests And Riots Backfire!! Students Starting To Realize Th... via,5,3
"RT When they're literally doing a Nazi salute you don't have to fudge and call them ""alt right""",5,2
#humanrights #UnitedNations Palestinian capable of overcoming aches to help humanitarian aids!,5,9
#today Somewhere quite high on a road between Bala and Vyrnwy,5,5
"isn't he the ultra conservative anti- gay marriage, anti-abortion, anti- everything guy?",0,2
"And in my defense, I said Marcelo out of reflex but clarified that Cristiano Ronaldo dos Santos Aveiro is actually the best.",10,6
Ashley Graham Lands Her First 'Vogue' Cover and Goes Au Naturel,5,10
"So I see the takes this week are split between ""the popular vote should reign supreme"" and ""enlightened electors should override the voters""",5,5
I think we should give all #ISIS members a Bible this #Christmas,5,3
"Even after the 4th time watching #FantasticBeasts, I still teared up at the John Williams opening scores. Such a cry baby 😭",10,9
"Never will let - via the reluctance influx of robbed by Poroshenko Ukrainian, where millions of families live on $ 40 a month",0,2
"The ""rich white racists"" hurting ""brown people"" are the Liberals inciting riots & racial divide in America! #Putin'…",0,0
Banda Piper - Ricky Martin (Livin' la vida loca) e Marron 5 (This love) via,5,8
Tesla Factory overview they're already producing Model 3 or S,5,7
I am so excited to see and on #GilmoreGirlsTop4 #FallonTonight,10,9
Review: Google Earth VR - VR Today Magazine (apparently remarkable achievement!) #VR,10,9
I followed Pope Francis' Latin twitter. I don't speak Latin.,5,5
"But,her sis was big in election,familyRall writers&ACexpert on digi media,so logical cd increase # s",10,6
"Wait, Grayson Allen is still playing!? I know he looks like he's 12, but he's been there at least 6 years, right?",5,5
"Pelosi, always one to reward failure, is trying to burden House Dems with Ben Ray Lujan as DCCC chair again. She's now incapable of learning",0,0
"leftists have cried wolf a few too many times, while Trump supporters r getting assaulted actually.",0,1
"So that's Obama Care, prosecuting Clinton & the Mexican border wall that he's now reneged on?! #lies #establishment…",0,1
I want to see more robots fall in love with other robots,10,8
"There could be a thousand more Hairspray remakes, and I will still like the one with Zac Efron better.",10,8
"A Battle to Change Medicare Is Brewing, Whether Trump Wants It or Nothttps://t.co/SYFgzYscjy#uniteblue #notmypresident",5,3
"The same people (leftists) who fought for women and gays, wanna allow the risk of terrorist migration in this country that kills them.",0,2
Fossil fuels will still provide 80% of global #energy supply in 2035 said Dr. Eveloy at Network’s workshop…,5,5
Loyalty's V.important 2.Dems GOPe Press all working against him. Mitt foreign policy vision diff.,0,3
Marion Le Pen has also accepted stolen wine from Crimea and agreed to new winemaking partnership #Sanctions #CrimeaIsUkraine,0,3
".@DrJillStein Answers? What are the Qs?Problem is voter suppression, not vote chicanery.Focus on the former, not the latter.",5,4
"secures first major sales order worth around $65,000 #business #news #investment #ASX200 #Pharmaceutical",10,9
"IFC signed agreement with Bank of #Palestine to scale up lending operations to smaller firms, especially women-owne…",10,9
mi mamá didn't tell me there was codeine in the cough syrup she gave me so I spent all of Thanksgiving drugged wbu,5,2
Have a pesky relative that won't stop complaining about Trump? Check to see if they're registered to vote:https://t.co/ddJFVJrUZw,5,3
Happy belated #NationalFastFoodDay!I want our #McDonalds with #McDelivery & #ShrimpBurgers like in #Seoul! My fav…,10,9
The The Orlando #Python User Group meetup is hosting the Deep Learning with #Python on Monday after next. Be there:,10,6
it's soft conservatives who are cool with gay people (sometimes blacks) and drone strikes versus genuine progressives.,0,3
Google Earth joins the VR revolution letting you wander the world in 3D:,10,8
"anyways u can assume I & others have the best intentions & wouldnt advocate nonconsentual testing for anyone, human or animal",5,7
"ruin ACA, privatize schools and Medicare, limit abortion choice, sell america's interests to line his pockets, start wars",0,0
she introduced Ivanka to her husband!? Wow all surrounded by Putin's agents,5,2
Everyone knows that vegetarianism is synonymous with wellness! 🙄,10,2
"RT Trump supporters, please read this article. Do you support this? What possible response is there?",5,5
To motivate deep learning & resilience help youth develop initiative. Great tips from,10,8
#native american sex pictures download porn mp4 anal fissure homeopathy,5,0
Representing in the for my peeps. #brownandproud #bad-hombres #thanksgiving,5,8
Ethics counsels for W & Obama: Electors shd vote #Clinton if #Trump retains ownership of his businesses #UniteBlue,5,4
The New York Times doesn't even pretend to cover the news anymore. Where are their articles about anti-Trump riots?,0,2
67.4 kg gold missing from Delhi airport in 7 months - via,0,2
#ESPN 2013-14 Panini Gold Standard Gold Prospects #35 Harrison Barnes /49 #TFBJP,5,5
"...and by ""genocidal antisemites"" you mean Steve Bannon, right?#NotMyPresident",0,0
"Rimmel Cosmetics, Avon and Cover Girl: You have got to stop making “cosmetics of cruelty”!",0,2
#Marijuana is medicine. 4 a very authoritative medical review of #cannabis https://t.co/9VlyPQTnGT No Exp date,5,7
What would The [un] & Conservatives say if or did a secret deal to give $300miln to WA? #auspol,0,2
#Prophet #Muhammad was treating every one of his #companions as if he most #beloved one to him. #Ep06_,10,9
Shame on #Barcelona fans for #homophobia displayed towards #RainbowLaces…,0,0
He's already ENRICHING HIMSELF by charging SS TOP price Towers Melania should b forced 2 live when time,0,2
You can now virtually travel the planet as #Google Earth is available in VR.,5,9
The best holiday ever National Fast food day #NationalFastFoodDay,10,9
Fast food companies spend $2B advertising to children each year. How's a parent to compete? #NationalFastFoodDay,0,3
"Comey’s letter swung public opinion, it would not have cost her the election. Voter suppression did that.",0,2
"If teachers are willing to make content wicked cool, students will be willing to engage in deep learning. #divergED…",10,10
she plans to rig the recount...so the Trump admin better be ahead of this. Even Obama didn't want her to do it.,0,1
Increasingly looks like Russia just conducted a sophisticated intel & propaganda operation of historic significance…,5,2
"A fine on that level does not really make much difference, does it 😔 #fracking destroys #environment",5,2
"The deplorables will have an awesome four year long hangover, think salt and hemroids, head in a sack bar of (cont)",0,0
When are we going to sign Mr. to his extention? Let's get it done!,10,9
"Great, so how far will you comply? Just squeeze a little more gun control?Ban angled foregrips, fudd?",0,1
"""Focusing on [alt rightists'] respectability...makes white supremacy appear normal and acceptable.""",5,1
"George soros...a member of the National socialist German worker party(nazi party). He served under Hitler, Himmler,this man said...",0,0
The Clinton Crime Foundation got everyone wanting to Pay to Play!,0,0
The NeoFascist Conservatives all cling to the fact that...,0,0
FCBarcelona: Arda Turan missed Friday's training session at the Ciutat Esportiva due to a fever #FCBlive,5,3
it just fucking blows because working a minimum wage job i need all the money i can get. shit isnt cheap.,0,1
Spirit of my silence i can hear you. But im afraid to be near you. #ThisIsUs 😍😍😍,10,5
Why does everything need a #remake? Enjoy the #classics! #BeautyandtheBeast #TheBradyBunch,5,3
"Brexit has started the disintegration of the EU, Italy&#39;s Europe minister says - - - The populist ...",0,3
Conflicts are only 1 of many issues facing racist/sexist/abusive/narcissistic despicable Trump. He also violated US…,0,0
"The Kelly File Special Nov 25, 2016 The Trump Transition ; Panel on Trump Cabinet Controversy: via",5,4
The Democrats are behind the Anti Trump protests that turn into Riots.There Parents must be pleased with how they raised there Children.,0,1
Trump says to #draintheswamp but fills his cabinet with fucking Swamp Things,0,1
"white supremacists? alt-right? They're fucking Nazi scumbags, or as I like to call them ""anti-american shit-stain…",0,0
75 percent of #Trump voters want to accelerate the growth of #clean #energy. #frackinghttps://t.co/LGmdweMk8q,5,8
and desperately trying to create brexit anxiety. Best to ignore mainstream media and laugh them off for what they are.,0,3
New All Party Parliamentary Group on Vegetarianism & #Veganism to discuss the impact of #Brexit Tues 3pm,5,5
"Link in bio - Come on The Walking Dead, get it together. #TheWalkingDead",10,3
Using #homeopathy to heal #PneumoniaInDogs is quick & economical #NaturalDogs #HolisticDogs,5,9
Do you think the Trump administration will construct a wall on the Mexican border?,5,5
Dear President Trump I think you should mak Dr. Ben Carson assign to your cabinet as the US Surgeon General instead of HUD.,5,6
"tried to drink, but just allergies so I sat there congested and bored watching David Blaine",0,3
Yikes! Turnbull Gov to introduce voter registration licenses. 😉,5,6
My opinion-This is a ploy to make an agreement between her and Trump. She won't protest if he won't prosecute.,5,2
"$2 Mil a DAY to protect Trump et al, because Melania doesn't want to move to DC, & Trumpkins wants to ""go home""",0,2
only Marine le Pen seems pleased! Very concerning for Europe. Hope some heads start to really work in Brussels!,5,3
"Imagining a credible threat, can they force him to sit down for the briefing? ""Look son, some bad hombres wanna get you...""0",5,2
Here's Obama legacy; we started his presidency with 3 wars and we end it with 7! & drone strikes; & Hillary wanted…,0,0
Why are oral vaccines less common than injected vaccines even if it can induce both systemic and mucosal immunities?,0,5
"To each her/his own. Most Conservatives, I simply disagree with, some I distrust and a few I dispise. Pick your #poison",0,3
"The thrill of seeing a wheelchair user in a movie doing boring, meaningless things that have nothing to do with euthanasia.",0,3
got a box of No.8 Maduro,5,7
This am my 8yo talks to me about 3D printing new airways for me. #hewillgoplaces #lovehimtopieces #TBM #justbreathe,10,9
"True, the Obama Admin. Squashed the Tea Party movement, unprecedented behavior.",5,3
"That's the first step in Gov't ""Gun Control"" Eliminate access to Ammunition.",5,3
".@NavyFederal the ""killer honeymoon"" commercial is so insensitive-u have drone strikes missing 90% of targets-not too funny #liberty",0,1
"Let's stop parsing.Just as #AltRight = Nazi, populist = anti-immigrant white supremacist. This is simple, irrefutable historical fact.",5,2
See you kids tomorrow #blackfriday #blackweek #podesejogar #dobre #mordki #unitednations…,10,8
White-collar supremacy is CODE used by liberal fascists for People who Work for Living in a Real Job #pjnet #trump #tcot #UniteBlue #p2,0,1
Okay but many alt rightists worship HitlerYou people can't keep pretending they aren't Third Reich 2.0,0,0
#Tigers #Memorabilia 2013 DETROIT TIGERS TICKET LOT OF 3 vs WHITE SOX CABRERA VERLANDER VGC L@@K! #Vintage #Sports,10,8
BEN 'THE SENSATION' HALL v CARSON JONES - OFFICIAL WEIGH IN & FACE OFF V...,5,5
everyone in the country is worried about our presidency and you and your girl still whining about the cy young.shut up dude,0,2
Thats not going to happen. The media will use him in an attempt to smear all conservatives. Spencer will relish in it.,0,2
"Sadly, this is how Steve Bannon sees all Jews.",0,1
"Ben Shapiro on Steve Bannon, the alt-right, and how they're using Trump while he's too stupid to see it. #FuckTrump",0,1
"Oh right, I have to save up $60 by February if I wanna get Persona 5.",5,5
"If the Community Spouse Dies Before the #Medicaid Recipient, Can #Medicaid Collect from the - via",5,3
Someone didn't just ask you that lol. Tommy Why would you be happy with any race doing a crime. The Liberals need bed🤗,0,3
"Fake news, Election Day hacks, Wikileaks, Comey, Russia, Jill Stein, Gary Johnson, etc. are all to blame, but Clinton herself, isn’t.",0,2
"I just want to move to LA, work a minimum wage job. Make clothes and paint all day. Do some community organizing. Start a modeling career.",5,8
"I dunno, from my porch view of Europe, there is certainly creeping unease, Baltics, Scandi, rightists in FR, IT, AU…",0,2
Watch Tesla Model S P85D’s instant speed avoid a potential rear-end collision,10,8
"Positive news - #France to enforce labeling of products produced in illegal #settlements, etc.: #Palestine #Israel",10,7
